URL,Grade,Grade Accepted,Bank,Review,Product,Proxy Used,Status,Clear Conditions,Polite Employee,Availability,Convenience,City,Date
https://www.banki.ru/services/responses/bank/response/12622410,5,True,"Возврат комиссии – отзыв о Альфа-Банке от ""user0459062"" | Банки.ру","11.10.25 была списана комиссия за подписку Альфа-смарт в сумме 399 руб. 12.10 я это обнаружила, возле списания прямо в истории есть кнопка Оспорить, нажала на нее, написала обращение в службу поддержки на возврат комиссии. В течение минуты, наверное, комиссию вернули. Подписку отключила самостоятельно. В других банках такого приятного бонуса не встречала ",Отзывы о дебетовых картах Альфа-Банка,False,good,3,3,3,3,Ярославль (Ярославская область),12.10.2025 13:40
https://www.banki.ru/services/responses/bank/response/12622411,5,False,"Получение пенсии в Альфа банке – отзыв о Альфа-Банке от ""user-563423038260"" | Банки.ру","Обратилась в отделение банка для оформления перевода получения пенсии в Альфа банк.
Сотрудник помог с оформлением через Госуслуги, пояснил все моменты, какие дополнительные привелегии получает пенсионер, например, 5% повышенный кэшбек на приобретение лекарств в аптечных пунктах.
Буквально на следующий день пришло сообщение об одобрении перевода пенсии в Альфа банк.  ",Отзывы о продуктах Альфа-Банка,False,good,3,3,3,3,Уфа,12.10.2025 13:40
https://www.banki.ru/services/responses/bank/response/12622412,5,False,"Удобная карта ""Халва"" – отзыв о Совкомбанке от ""user-348323038230"" | Банки.ру","Я пользуюсь картой ""халва"" с 2020 года. Мне очень нравится эта карта . Очень удобная рассрочка . Несколько лет назад перевела все к на рефинансирования. Теперь на много легче с платежом . И очень выгодно. Если вы пользуетесь картой ""халва"" то оформить кредит под ноль . Мне очень нравится эта карточка .  ",Отзывы о кредитных картах Совкомбанка,False,good,3,3,3,3,Завитинск,12.10.2025 13:40
https://www.banki.ru/services/responses/bank/response/12622413,5,True,"Мгновенное решение – отзыв о Альфа-Банке от ""user-358823038162"" | Банки.ру","Обратилась в банк с просьбой помочь вывести деньги с закрытой кредитной карты. Дело в том, что на счете образовалась переплата и самостоятельно я не могла вывести эту сумму. Сотрудник Марина в считанные секунды помогла решить вопрос. Благодарю за качественный сервис, быстрое решение вопроса и качественную онлайн поддержку ",Отзывы о кредитных картах Альфа-Банка,False,good,3,3,3,3,Ульяновск (Ульяновская область),12.10.2025 13:40
https://www.banki.ru/services/responses/bank/response/12622414,5,True,"Помощь в консультации – отзыв о Банке Ozon от ""user-326023038263"" | Банки.ру","Светлана в 12:56 12.10 помог мне отменить ошибочное обращение. Я обратился к ним в чат для помощи в вопросах по условиям работы приложения, по вопросу взноса наличных, если произошел сбой, мне быстро помогли, сразу поддержали, решили мой вопрос и отнеслись индивидуально, чтобы я был доволен решением вопроса, так же удобное меню чата. Уютный сервис, вежливые сотрудники. ",Отзывы о дебетовых картах Банка Ozon,False,good,3,3,2,3,Ставрополь,12.10.2025 13:41
https://www.banki.ru/services/responses/bank/response/12622415,5,True,"Карта для оплаты – отзыв о Яндекс Банке от ""user-850123038262"" | Банки.ру","Пользуюсь Яндекс Pay уже давно, в основном оплачиваю по QR-коду — быстро и удобно, особенно когда нет NFC. Всё работает стабильно, подтверждение проходит моментально. Часто возвращают кэшбэк, а бонусами оплачиваю поездки в Яндекс Такси — приятно экономить на повседневных расходах. Недавно заказал фирменный стикер Яндекс Pay, приклеил на телефон — теперь можно платить как обычной картой. Очень удобно, безопасно и современно! ",Отзывы о дебетовых картах Яндекс Банка,False,good,3,3,3,3,Казань,12.10.2025 13:41
https://www.banki.ru/services/responses/bank/response/12622416,5,False,"Заблокировали перевод – отзыв о Альфа-Банке от ""user-250923038253"" | Банки.ру","5 сентября я пыталась перевести средства со своей карты Альфа-Банка на карту родственника в другом банке и столкнулась с блокировкой карты из-за подозрительной операции.  Я обратилась в офис на улице Ленина. К моему удивлению, вопрос был решён всего за несколько минут! Менеджер Анна оперативно связалась с нужным сотрудником, быстро проверила все данные и вскоре я получила смс о том, что моя карта разблокирована. Огромное спасибо за профессионализм и быструю помощь! ",Отзывы о дебетовых картах Альфа-Банка,False,good,3,3,3,3,Екатеринбург (Свердловская область),12.10.2025 13:41
https://www.banki.ru/services/responses/bank/response/12622417,5,False,Unknown,"Представитель банка заранее позвонил и в назначенный интервал был на месте, и даже немного подождал возле дома, пока я ехал с работы. Всё сделал быстро и понятно, без лишней информации и навязывания ненужных услуг, как многие любят это делать. передал карту и помог её активировать, сервисом доволен. ",Отзывы о дебетовых картах Альфа-Банка,False,good,3,3,3,3,Нижний Новгород,12.10.2025 13:43
https://www.banki.ru/services/responses/bank/response/12622418,5,True,"Активация карты – отзыв о Банке Ozon от ""user-685717896523"" | Банки.ру","Помогли решить проблему с активацией дебетовой OZON карты. Консультанты быстро определили проблему и помогли с ней разобраться. Проблема была в том, что я перевыпустила карту, но не могла ее активировать. Оказывается нужно было просто обновить паспортные данные. Без помощи консультантов сама бы не догадалась. Спасибо большое!  ",Отзывы о дебетовых картах Банка Ozon,False,good,3,3,3,3,Ухта,12.10.2025 13:44
https://www.banki.ru/services/responses/bank/response/12622419,1,False,Unknown,"Заказал продукты через приложение город в т банке , заказ полтора часа висит как принят, его не собирают,хотя деньги списаны . До окончания срока доствки 20 мин. Пишу в чат по этому вопросу, т.к связь только через них, поддержка ничего не знает и не решает, а в конце спросив номер заказа вообще слилась. Не советую там заказывать что либо, никто ничего не знает, связаться с магазином нет возможности. Поддержка нулевая. ",Отзывы о продуктах Т-Банка,False,good,1,2,1,2,Ростов-на-Дону (Ростовская область),12.10.2025 13:44
