,URL,Grade,Grade Accepted,Bank,Review,Product,Proxy Used,Status,Clear Conditions,Polite Employee,Availability,Convenience,City,Date
0,https://www.banki.ru/services/responses/bank/response/12622410,5,True,Альфа-Банк,"11.10.25 была списана комиссия за подписку Альфа-смарт в сумме 399 руб. 12.10 я это обнаружила, возле списания прямо в истории есть кнопка Оспорить, нажала на нее, написала обращение в службу поддержки на возврат комиссии. В течение минуты, наверное, комиссию вернули. Подписку отключила самостоятельно. В других банках такого приятного бонуса не встречала ",дебетовая карта,False,good,3,3,3,3,Ярославль (Ярославская область),12.10.2025 13:40
1,https://www.banki.ru/services/responses/bank/response/12622411,5,False,Альфа-Банк,"Обратилась в отделение банка для оформления перевода получения пенсии в Альфа банк.
Сотрудник помог с оформлением через Госуслуги, пояснил все моменты, какие дополнительные привелегии получает пенсионер, например, 5% повышенный кэшбек на приобретение лекарств в аптечных пунктах.
Буквально на следующий день пришло сообщение об одобрении перевода пенсии в Альфа банк.  ",все продукты,False,good,3,3,3,3,Уфа,12.10.2025 13:40
2,https://www.banki.ru/services/responses/bank/response/12622412,5,False,Совкомбанк,"Я пользуюсь картой ""халва"" с 2020 года. Мне очень нравится эта карта . Очень удобная рассрочка . Несколько лет назад перевела все к на рефинансирования. Теперь на много легче с платежом . И очень выгодно. Если вы пользуетесь картой ""халва"" то оформить кредит под ноль . Мне очень нравится эта карточка .  ",кредитная карта,False,good,3,3,3,3,Завитинск,12.10.2025 13:40
3,https://www.banki.ru/services/responses/bank/response/12622413,5,True,Альфа-Банк,"Обратилась в банк с просьбой помочь вывести деньги с закрытой кредитной карты. Дело в том, что на счете образовалась переплата и самостоятельно я не могла вывести эту сумму. Сотрудник Марина в считанные секунды помогла решить вопрос. Благодарю за качественный сервис, быстрое решение вопроса и качественную онлайн поддержку ",кредитная карта,False,good,3,3,3,3,Ульяновск (Ульяновская область),12.10.2025 13:40
4,https://www.banki.ru/services/responses/bank/response/12622414,5,True,Банк Ozon,"Светлана в 12:56 12.10 помог мне отменить ошибочное обращение. Я обратился к ним в чат для помощи в вопросах по условиям работы приложения, по вопросу взноса наличных, если произошел сбой, мне быстро помогли, сразу поддержали, решили мой вопрос и отнеслись индивидуально, чтобы я был доволен решением вопроса, так же удобное меню чата. Уютный сервис, вежливые сотрудники. ",дебетовая карта,False,good,3,3,2,3,Ставрополь,12.10.2025 13:41
5,https://www.banki.ru/services/responses/bank/response/12622415,5,True,Яндекс Банк,"Пользуюсь Яндекс Pay уже давно, в основном оплачиваю по QR-коду — быстро и удобно, особенно когда нет NFC. Всё работает стабильно, подтверждение проходит моментально. Часто возвращают кэшбэк, а бонусами оплачиваю поездки в Яндекс Такси — приятно экономить на повседневных расходах. Недавно заказал фирменный стикер Яндекс Pay, приклеил на телефон — теперь можно платить как обычной картой. Очень удобно, безопасно и современно! ",дебетовая карта,False,good,3,3,3,3,Казань,12.10.2025 13:41
6,https://www.banki.ru/services/responses/bank/response/12622416,5,False,Альфа-Банк,"5 сентября я пыталась перевести средства со своей карты Альфа-Банка на карту родственника в другом банке и столкнулась с блокировкой карты из-за подозрительной операции.  Я обратилась в офис на улице Ленина. К моему удивлению, вопрос был решён всего за несколько минут! Менеджер Анна оперативно связалась с нужным сотрудником, быстро проверила все данные и вскоре я получила смс о том, что моя карта разблокирована. Огромное спасибо за профессионализм и быструю помощь! ",дебетовая карта,False,good,3,3,3,3,Екатеринбург (Свердловская область),12.10.2025 13:41
7,https://www.banki.ru/services/responses/bank/response/12622417,5,False,Альфа-Банк,"Представитель банка заранее позвонил и в назначенный интервал был на месте, и даже немного подождал возле дома, пока я ехал с работы. Всё сделал быстро и понятно, без лишней информации и навязывания ненужных услуг, как многие любят это делать. передал карту и помог её активировать, сервисом доволен. ",дебетовая карта,False,good,3,3,3,3,Нижний Новгород,12.10.2025 13:43
8,https://www.banki.ru/services/responses/bank/response/12622418,5,True,Банк Ozon,"Помогли решить проблему с активацией дебетовой OZON карты. Консультанты быстро определили проблему и помогли с ней разобраться. Проблема была в том, что я перевыпустила карту, но не могла ее активировать. Оказывается нужно было просто обновить паспортные данные. Без помощи консультантов сама бы не догадалась. Спасибо большое!  ",дебетовая карта,False,good,3,3,3,3,Ухта,12.10.2025 13:44
9,https://www.banki.ru/services/responses/bank/response/12622419,1,False,Т-Банк,"Заказал продукты через приложение город в т банке , заказ полтора часа висит как принят, его не собирают,хотя деньги списаны . До окончания срока доствки 20 мин. Пишу в чат по этому вопросу, т.к связь только через них, поддержка ничего не знает и не решает, а в конце спросив номер заказа вообще слилась. Не советую там заказывать что либо, никто ничего не знает, связаться с магазином нет возможности. Поддержка нулевая. ",все продукты,False,good,1,2,1,2,Ростов-на-Дону (Ростовская область),12.10.2025 13:44
10,https://www.banki.ru/services/responses/bank/response/12622420,5,False,Альфа-Банк,"Хорошее приложение, удобный понятный интерфейс, большой кэшбэк, переводы без комиссии, кредитная карта больше года без %. В чате сотрудники оперативно и легко всё объясняют. Можно обратиться даже ночью, ответят быстро. Зарплата приходит без задержек. Также при проблемах с картой можно обратиться в любое ближайший банк, тебя выслушаю и решит все твои проблемы быстро и просто. Пользуюсь уже 3 год ни о чём не жалею. ",все продукты,False,good,3,3,3,3,Ханты-Мансийск,12.10.2025 13:45
13,https://www.banki.ru/services/responses/bank/response/12622423,5,False,Альфа-Банк,"Пользуясь услугами банка уже несколько лет, ни разу не пожалела о своём выборе, особенно впечатлила оперативность обслуживания, все операции быть то это переводы либо оформление документов, выполняется быстро и без лишних проволочек. Радует удобство мобильного приложения, оно индивидуально позволяет управлять финансами в любое время суток, также приятно удивилась широкая сеть банковских банкоматов и отдельный отделение по городу, всегда можно найти ближайший и решить свои вопросы. Отдельно хочу ответить на профессионализм сотрудников каждый раз, когда обращаюсь в банк, чувствую индивидуальный подход и внимание к деталям Альфа-Банк, это надёжность, удобство, современный сервис в одном флаконе, рекомендую всем, кто ценит качество и комфорт.  ",дебетовая карта,False,good,3,3,3,3,Калуга,12.10.2025 13:46
14,https://www.banki.ru/services/responses/bank/response/12622424,5,True,Альфа-Банк,"Однажды столкнулся с ситуацией, что мои документы попали в какие то организации, которые начисляли мне платёж в каком то гаражном сотрудничестве. Альфа банк прислал мне уведомление об этом, с этой проблемой я обратился в чат банка, на что сотрудник меня своевременно проинструктировал и дал рекомендации, что и в какой последовательности нужно сделать. Простыми, последовательными действиями я отклонил все операции, которые приходили мне на счёт. И сохранил свои деньги. ",все продукты,False,good,3,3,3,3,Бийск,12.10.2025 13:47
15,https://www.banki.ru/services/responses/bank/response/12622425,5,False,Камкомбанк,"В день вылета потребовалось купить доллар, но в воскресенье, к тому же нового образца оказалось не так просто. На сайте банки.ру нашла данный банк. Быстро дали обратную связь и зарезервировали необходимую сумму. обслуживание очень вежливое, курс устроил. В дополнение удалось с небольшой доплатой перепродать старые 100$ ",все продукты,False,good,3,3,3,3,Москва,12.10.2025 13:47
16,https://www.banki.ru/services/responses/bank/response/12622426,5,True,Московском кредитном,"Прийдя в МКБ банк на академика Янгеля, для переоформления вклада. Был очень приятно удивлён новым ремонтном, и приятной встрече с менеджером Н-ой Надеждой, она мне помогла выбрать вклад с выгодными условиями, и настроить личный кабинет. Также грамотно подсказала, как перевести деньги с другого банка. Благодарю за качественное обслуживание и внимание к клиентам!  ",вклады,False,good,3,3,3,3,Москва,12.10.2025 13:47
