URL,Grade,Product,Review,Bank,Status,Proxy Used,Clear Conditions,Polite Employee,Availability,Convenience,City
https://www.banki.ru/services/responses/bank/response/12622410,5,Отзывы о дебетовых картах Альфа-Банка,"11.10.25 была списана комиссия за подписку Альфа-смарт в сумме 399 руб. 12.10 я это обнаружила, возл...",картах Альфа-Банка,good,False,3,3,3,3,Ярославль (Ярославская область)
https://www.banki.ru/services/responses/bank/response/12622411,0,Отзывы о продуктах Альфа-Банка,"Обратилась в отделение банка для оформления перевода получения пенсии в Альфа банк.
Сотрудник помог ...",продуктах Альфа-Банка,good,False,3,3,3,3,Уфа
https://www.banki.ru/services/responses/bank/response/12622412,0,Отзывы о кредитных картах Совкомбанка,"Я пользуюсь картой ""халва"" с 2020 года. Мне очень нравится эта карта . Очень удобная рассрочка . Нес...",картах Совкомбанка,good,False,3,3,3,3,Завитинск
https://www.banki.ru/services/responses/bank/response/12622413,5,Отзывы о кредитных картах Альфа-Банка,"Обратилась в банк с просьбой помочь вывести деньги с закрытой кредитной карты. Дело в том, что на сч...",картах Альфа-Банка,good,False,3,3,3,3,Ульяновск (Ульяновская область)
https://www.banki.ru/services/responses/bank/response/12622414,0,Отзывы о дебетовых картах Банка Ozon,Светлана в 12:56 12.10 помог мне отменить ошибочное обращение. Я обратился к ним в чат для помощи в ...,Банка Ozon,good,False,3,3,2,3,Ставрополь
https://www.banki.ru/services/responses/bank/response/12622415,0,Отзывы о дебетовых картах Яндекс Банка,"Пользуюсь Яндекс Pay уже давно, в основном оплачиваю по QR-коду — быстро и удобно, особенно когда не...",Яндекс Банка,good,False,3,3,3,3,Казань
https://www.banki.ru/services/responses/bank/response/12622416,0,Отзывы о дебетовых картах Альфа-Банка,5 сентября я пыталась перевести средства со своей карты Альфа-Банка на карту родственника в другом б...,картах Альфа-Банка,good,False,3,3,3,3,Екатеринбург (Свердловская область)
https://www.banki.ru/services/responses/bank/response/12622417,0,Отзывы о дебетовых картах Альфа-Банка,"Представитель банка заранее позвонил и в назначенный интервал был на месте, и даже немного подождал ...",картах Альфа-Банка,good,False,3,3,3,3,Нижний Новгород
https://www.banki.ru/services/responses/bank/response/12622418,0,Отзывы о дебетовых картах Банка Ozon,Помогли решить проблему с активацией дебетовой OZON карты. Консультанты быстро определили проблему и...,Банка Ozon,good,False,3,3,3,3,Ухта
https://www.banki.ru/services/responses/bank/response/12622419,0,Отзывы о продуктах Т-Банка,"Заказал продукты через приложение город в т банке , заказ полтора часа висит как принят, его не соби...",продуктах Т-Банка,good,False,1,2,1,2,Ростов-на-Дону (Ростовская область)
https://www.banki.ru/services/responses/bank/response/12622420,0,Отзывы о продуктах Альфа-Банка,"Хорошее приложение, удобный понятный интерфейс, большой кэшбэк, переводы без комиссии, кредитная кар...",продуктах Альфа-Банка,good,False,3,3,3,3,Ханты-Мансийск
URL,Grade,Product,Review,Bank,Status,Proxy Used,Clear Conditions,Polite Employee,Availability,Convenience,City
https://www.banki.ru/services/responses/bank/response/12622420,0,Отзывы о продуктах Альфа-Банка,"Хорошее приложение, удобный понятный интерфейс, большой кэшбэк, переводы без комиссии, кредитная кар...",продуктах Альфа-Банка,good,False,3,3,3,3,Ханты-Мансийск
https://www.banki.ru/services/responses/bank/response/12622421,0,Unknown,Review element not found,Unknown,good,False,0,0,0,0,Unknown
https://www.banki.ru/services/responses/bank/response/12622422,0,Отзывы о дебетовых картах Альфа-Банка,,картах Альфа-Банка,good,False,2,3,3,2,Москва
https://www.banki.ru/services/responses/bank/response/12622423,0,Отзывы о дебетовых картах Альфа-Банка,"Пользуясь услугами банка уже несколько лет, ни разу не пожалела о своём выборе, особенно впечатлила ...",картах Альфа-Банка,good,False,3,3,3,3,Калуга
https://www.banki.ru/services/responses/bank/response/12622424,0,Отзывы о продуктах Альфа-Банка,"Однажды столкнулся с ситуацией, что мои документы попали в какие то организации, которые начисляли м...",продуктах Альфа-Банка,good,False,3,3,3,3,Бийск
https://www.banki.ru/services/responses/bank/response/12622425,0,Отзывы о продуктах Камкомбанка,"В день вылета потребовалось купить доллар, но в воскресенье, к тому же нового образца оказалось не т...",продуктах Камкомбанка,good,False,3,3,3,3,Москва
